docno,text
d286,"government commissions - bbc sessions 1996-2003 mogwai electronic, rock runout / matrix for side c is not incomplete. the runout is so slim that the numbers and letters are obscured by the paper label, and unreadable."
d287,"bewitched laufey (2) jazz indie pressing on orange vinyl. released with a glossy gatefold sleeve, with embossed star on front cover. includes 16-page extended booklet with exclusive behind-the-scenes photos, lyrics and credits included. artwork photo by gemma warren. vinyl packaging by kelly ford. on rear sleeve and labels: ℗ & © 2023 laufey under exclusive license to awal recordings america, ltd. made in czech republic / fabriqué en république tchèque."
d288,shout at the devil mötley crüe rock gatefold sleeve. walmart exclusive with exclusive cover art & red/black colored lp.
d289,"foreigner foreigner mastered directly from the original master tape by ryan k. smith at sterling sound. tip-on old style gatefold double pocket jackets with film lamination by stoughton printing. analogue productions (atlantic 75 series). limited numbered edition of 2,000."
d290,"jenny from thebes the mountain goats rock peaches & cream band exclusive vinyl limited to 1,500 copies gatefold jacket with printed lyrics white paper inner sleeve printed insert for full album download"
d291,"sunday at the village vanguard bill evans trio recorded live at the village vanguard, new york city; june 25, 1961. all-analog mastering from the original master tapes by kevin gray at cohearent audio. pressed on 180-gram vinyl at rti. single tip-on jacket with obi spine wrap. comes with craft recordings three-ply anti-static inner sleeve. ℗ 2022 & © 1961 craft recordings. manufactured and distributed by concord. made in u.s.a."
d292,chutes too narrow the shins rock 
d293,"chronicles of a diamond black pumas rock, funk / soul -texas edition. only released via independent record stores in texas -limited to 500 copies pressed on brown/gold swirl -includes poster"
d294,"drive bela fleck drive was recorded at the nashville sound connection and mixed digitally at the sound emporium during the last days of 1987. it was mastered at georgetown mastering. thanks to jim fogelsong; flux; bil vorndick; billy wolf; paul brady; rich, ken & dan; maura; russ barenberg; john & diane; gary, todd & susan; my friends at georgetown; and the new grass revival. extra special thanks to these fantastic musicians for creating a new standard in acoustic music - thanks guys! drive safely, bela fleck hype sticker reads: heady wax fiends record club is proud to team up with real gone music to bring you the first pressing of this bluegrass staple since 1989. sourced from the original recordings and featuring for the first time on vinyl, the bonus track crucial county breakdown. drive featured bela fleck at his very best, which is surrounded by his all star roster of friends. tony rice, sam bush, stuart duncan, mark o'connor, jerry douglas and mark schatz help bela fleck navigate his way through ten, well actually, eleven blistering instrumentals. often hailed as one of the most influential albums on the current scene of bluegrass pickers, we know this release will be a staple of your collection. - kris howland"
d295,"higher chris stapleton folk, world, & country "
d296,"zig poppy (38) electronic, rock, pop alternative press exclusive, limited to 500 copies worldwide."
d297,"live 2003 (yoshimi battles the pink robots live at the forum, london, uk jan. 22, 2003) the flaming lips rock tracks a1 to a3, b1 to d4 published by lovely sorts of death music (bmi) administered by songs of universal, inc. track a4 published by essex music, inc. (ascap) / tro essex music ltd. (prs). matrix / runout (side a runout): 093624872733 - a cb (hand-etched) 255826e1 1455656 (stamped) matrix / runout (side b runout): 093624872733 - b cb (hand-etched) 255826e2 1455653 (stamped) matrix / runout (side c runout): 093624872733 - c cb (hand-etched) 255826e3 1475086 (stamped) matrix / runout (side d runout): 093624872733 - d cb (hand-etched) 255826e4 1478639 (stamped)"
d298,2 ruff vol. 1 chase & status electronic 
d299,"once twice melody beach house rock, pop urban outfitters exclusive. limited to 1000. textured outer sleeve with foil stamping and printed inside. full color inner sleeves and double-sided poster."
d300,"the sin of human frailty end (15) rock first pressing. human warfare & evil greed exclusive. pressed on gold, oxblood & violet merge w/ white & baby blue splatter, limited to 300 copies. housed in a full-colour, matte-printed, double-sided 10-panel jacket including die-cut features showcasing expanded artwork. digital download card included. * tracks are listed sequentially on the release. * human warfare lists as 'gold, oxblood & neon purple merge w/ white & baby blue splatter'. additional vocals on ""twice devoured kill"" by [...] of pig destroyer. additional vocals on ""worthless is the lamb"" by [...] of full of hell. additional vocals on ""thaw"" by [...] of heriot."
d301,"l'ombre sur la mesure la rumeur hip hop recorded at studios twin, paris, except track c1 at studios ads, paris. label parlophone ℗ & © 2002 warner music france. made in czech republic sticker : la rumeur l'album original réédité pour la première fois en vinyle. en concert dans toute la france la cigale (paris) le 02 décembre"
d302,"true avicii electronic ""made in czech republic"" sticker on the back"
d303,"something to give each other troye sivan electronic, pop urban outfitters exclusive. includes exclusive alternate cover art. ""made in the usa"" sticker on back."
d304,"one more time... blink-182 rock comes in cardboard gatefold with 12-page booklet and sticker ""mark, tom and travis are back. 17 new songs"". © 2023 & ℗ 2022, 2023 viking wizard eyes llc under exclusive license to columbia records, a division of sony music entertainment. made in the eu."
d305,"sings dylan (the 1966 royal albert hall concert) cat power rock, folk, world, & country recorded november 5, 2022 (erroneously printed as 2023 in album credits). indie exclusive white vinyl. catalog number appears as wiglp524x on hype sticker and wiglp524 in all other instances. all runouts etched, =1, +1, -1|, t1, mirrored pressed by and lacquer cut derived from runouts. gatefold cover with dust free black inner sleeves. sold come copies of this release bundled with an exclusive poster."
d306,"aguilera christina aguilera latin, pop "
d307,"fronzoli psychedelic porn crumpets rock gatefold sleeve. limited to 250 units. mistake at pressing plant caused this pressing to turn out different compared to mock-up. tracks ordered sequentially. track a1 title is format as (k.i.l.l.i.ng) on the rear sleeve, and (k-i-l-l-i-n-g) on the inner sleeve."
d308,"mixing up the medicine / a retrospective bob dylan rock, folk, world, & country on sticker: ""12 of bob dylan's greatest songs companion piece to the mixing up the medicine book"""
d309,i<3uqtinvu jockstrap (4) electronic nb: some copies included an additional signed print from certain retailers
d310,"200 km/h in the wrong lane t.a.t.u. electronic, rock, pop first time on 2x 45rpm red splatter vinyl."
d311,hymns from the apocrypha suffocation rock strictly limited edition. white / brown / black corona vinyl. ltd. to 600. issued with a double-sided printed insert with lyrics. tracks are listed sequentially on the labels and sleeve.
d312,"diamonds and pearls (deluxe edition) prince electronic, hip hop, funk / soul, pop "
d313,"sticks and stones new found glory rock from hype sticker: ""limited edition - whirlpool vinyl featuring 4 photo cards and two bonus tracks"" ??? - whirlpool"
d314,"the foundation zac brown band folk, world, & country this is the 2023 repressing by fugitive. there are three variants: the zac brown band store exclusive limited edition /500 white & brown hand pour variant; the walmart exclusive ice blue variant; and this one the retail exclusive limited edition /4000 merlot variant."
d315,bakers dozen all them witches rock box set includes: - a 3-lp compilation of the thirteen tracks recorded and released as part of all them witches' bakers dozen project. - artwork and packaging designed by robby staebler. - all them witches photo booklet. - a double-sided poster featuring original artwork. - mini sticker pack.
d316,"before these crowded streets dave matthews band rock, folk, world, & country available exclusively through band fan club"
d317,"bauhaus staircase omd electronic, pop standard edition issued in a gatefold digisleeve with no booklet. ℗ & © 2023 white noise"
d318,"purple reign future (4) hip hop first release on vinyl, released november 2023."
d319,"black out the windows/ladies and gentlemen, the twilight singers the twilight singers rock "
d320,"history books the gaslight anthem rock limited to 300 copies. hype sticker: the new album includes “history books (feat. bruce springsteen)” electric smoke (jpc store - german exclusive) in fact, the color is cear w/ smoke"
d321,the roaring forty | 1983-2023 billy bragg rock hand numbered on the rear out of /1000 printed inner sleeve
d322,"hollywood bowl | august 18, 1967 jimi hendrix experience rock cat# 19658831562 on hype sticker, back cover, spine, booklet and cd face. [hype sticker:] ""the authorized hendrix family edition never before released performance. deluxe 24-page booklet includes unseen photographs and essay. 19658831562"" original sound recordings recovered by [back cover:] ℗ & © 2023 experience hendrix, l.l.c. under exclusive license to sony music entertainment. distributed by sony music entertainment. sony music entertainment international services gmbh, po box 510. 33311 gütersloh, germany. (...) made in the eu. lc02361 / 19658831562 [cd face:] ℗ © 2023 experience hendrix, l.l.c. under exclusive license to sony music entertainment. all rights reserved. made in the eu. biem/gema / lc02361 / 19658831562 digipak with 24-page booklet with rare photos and liner notes by . made in the eu (on back cover and cd face). for the us edition, see ."
d323,"ginger speedy j limited to 500 copies. catalog numbers: the barcode sticker on the outer protective plastic has warplp14rc. back cover has warplp14r. spine has warp lp14r. the labels have warp lp14r,"
d324,"one more time... blink-182 rock © 2023 & ℗ 2022, 2023 viking wizard eyes llc under exclusive license to columbia records, a division of sony music entertainment."
d325,"naked talking heads rock standard black vinyl edition. packaged in a unipak-style gatefold sleeve as per the original us issue. runouts etched except ""265997e1 1706643 sterling"" and ""265997e2 1706641 sterling"" stamped"
d326,"the rest boygenius rock translucent yellow vinyl, exclusive to the boygenius webstore. made in czech republic sticker. includes a lyrics booklet. title stylized in lowercase us/north american yellow version with different catalog number found here: ."
d327,"ashes, organs, blood and crypts autopsy (2) rock issued with a double-sided printed innersleeve with lyrics, hype sticker on plastic foil and peacevile advertising sheet. runouts: all text is etched. ""1|"" and ""1="" are mirrored."
d328,"live vol.2 parcels electronic, funk / soul from le palace, paris"
d329,"demon hunter demon hunter rock the debut album on vinyl lp for the first time. newly remastered for vinyl 20 page large format booklet extensive liner notes by ryan clark gold foil-stamped cover transparent smoke splatter (500) tri-color (500) - this variant release date: october 22, 2002 (solid state records) produced and engineered by aaron sprinkle mixed by jr mcneely mastered and remastered by troy glessner album cover by kris mccaddon"
d330,"zig poppy (38) electronic, rock, pop main pressing, available at most indie stores worldwide. limited to 3,250"
d331,"dimension intrusion fuse limited to 500 copies. includes a 12"" x 12"" slip which is a replica of the original vinyl edition's slip. as this was only sold on bleep.com, placing an order there will include a download through their site. the barcode sticker on the outer protective plastic has warplp12rc while the cover and labels have warplp12r."
d332,laugh track the national rock limited edition pink vinyl.
d333,"los angeles lol tolhurst rock standard black 2lp with side d etching. housed in a single sleeve, with printed inner sleeves and printed on-body labels."
d334,god made me an animal better lovers rock limited to 750.
d335,"raggasonic2 raggasonic hip hop, reggae gatefoldcover incl. printed innersleeves b2 contains elements from ""the 900 number"" used by courtesy of tuff city records edition emi music publishing france sauf 3b - 3c - edition emi publishing france/ dr 2b - edition emi publishing france/ street tuff tunes 2c - edition emi publishing france/ polygram music/dr"
d336,"spine myrkur (4) rock 8187 copies made according to label website. standard gram vinyl. cat.number rr7516 on spine, cat.number rr75161 on hype sticker."
d337,"the maybe man ajr pop limited edition iridescent pearlized purple vinyl, exclusive to indie record stores."
d338,"reign of the reaper sorcerer (6) rock double lp deluxe edition on ""dawn sun"" marbled vinyl, limited to 500 copies incl. 4 track ""reverence"" ep + two 2 sided posters, photocard, lyric insert & download card. track c1 is a cover, track c2 is a cover, track d1 is a cover and track d2 is a cover."
d339,"lightbringer rival sons issued in a standard jewel case with clear tray and an 8-page booklet. atlantic 75th anniversary hype sticker on front of cellophane wrapping. [back cover]: ℗ & © 2023 atlantic recording corporation made in germany. [booklet]: recorded at low country savannah in savannah, georgia. recorded at rca studio a in nashville, tennessee. recorded and engineered in personal studios of/by respective band members. mastered [...] for infrasonic mastering. © 2023 all over the road music (ascap) / bmg gold songs (ascap) / pressure and time music (bmi) / bmg platinum songs (bmi) all rights administered by bmg rights management (us), llc. track 6 ""mosaic"" misspelled as ""mosiac'' inside of booklet."
d340,"those who tell the truth shall die, those who tell the truth shall live forever explosions in the sky rock © 2001 explosions in the sky ℗ 2023 temporary residence ltd. — hype sticker reads: ""explosions in the sky anniversary edition remastered & reissued first time ever on colored vinyl"" — additional information: • includes code for digital download. • transparent 'made in czech republic' sticker on back of shrink. • drawings [...] (inspired by ""the angel of mons"" • recorded and mixed december 2000 in washington, dc • remastered in august 2022 in chicago, il. • lacquers for this release have been cut by bob weston on 13th of april 2023 (sides a) and 20th of december 2022 (side b). • runouts are etched and stamped. — cat# locations: • ""trr034"" as per spine of record jacket • ""trr034lp-c1"" as per hype sticker"
d341,"zig poppy (38) electronic, rock, pop sumerian records webstores exclusive. limited to 1000 copies per region (us & uk)."
d342,"bubblegum cigarettes after sex rock, pop made in the czech republic. cover photo: “abandoned car crash (polaroid b/w)""."
d343,"the boy with the arab strap belle & sebastian rock from hype sticker: 25th anniversary limited edition clear pale blue vinyl bonus art print from label store order page: belle and sebastian’s beloved third album ‘the boy with the arab strap’ returns on limited blue vinyl and blue tint cover this autumn to celebrate the lps 25th anniversary. albums will ship around november 3, 2023. gatefold cover. plain white paper inner. no mp3 download."
d344,"resurrection of the flesh (triumph of death live, 2023) triumph of death (2) rock gatefold edition contains: - 2x black & white swirl vinyl - 24 page 10"" booklet - 1x 60cm x 60cm poster - 1x 30cm × 60cm poster"
d345,at the edge of time blind guardian rock 
d346,"friday the 13th (original motion picture score) harry manfredini stage & screen the complete score to the classic 1980's slasher hand-poured vinyl and tip-on jacket director and composer liner notes 12""x12"" art print art by jay shaw and jacqui oakley also bundled with a limited edition steelbook of the film with slipcover including jay shaw's cover art"
d347,"water made us jamila woods includes tri-fold insert with lyrics and photos, and a download card."
d348,bolted forest swords electronic printed insert and inner sleeves made in uk
d349,ii: revisited bad books rock yellow and blue a-side/b-side pressing of 800 units sold from the band's webstore and indie record stores
d350,"valentine demos snail mail (2) rock includes a custom inner sleeve. hype sticker: five song demo ep featuring a never-before-heard song and four intimate tracks that would become 'valentine' p&c 2023 snail mail under exclusive license to matador records all songs played, written, and recorded... 2019-2021"
d351,"semi-detached therapy? rock premier vinyl lp version of this album. upon original release in 1998, it was never released on lp, the only vinyl version being the multi-7"" box set, see . 25th anniversary edition on coloured heavyweight opaque vinyl. matte sleeve. disc held in a polylined die cut white paper inner sleeve. includes a 12"" square matte paper insert, printed on both sides. the packing did not come shrink-wrapped, rather in a resealable polypropylene cover. affixed to this is a bronze/gold hype sticker. runouts are etched."
d352,"superbloom silent planet rock first pressing. ""void iris"" variant: black/blue/red smash"
d353,"saul williams saul williams hip hop, rock from vinyl me, please: the first-ever vinyl pressing of saul williams' self-titled album is available on galaxy blue vinyl."
d354,the masterplan oasis (2) rock standard black vinyl version
d355,"152 taking back sunday rock limited to 1,750 pressed."
d356,"that thing you do! (original motion picture soundtrack) various jazz, rock, pop, folk, world, & country, stage & screen mondo webstore black vinyl variant, 140g. comes with bonus 7”. includes 12-page booklet with never before seen photos"
d357,"sweet justice tkay maidza electronic, hip hop, funk / soul, pop rough trade exclusive limited to 1750 copies includes bonus 7"" (4ad0363spe) a cover of the pixies where is my mind backed by where is my mind (instrumental). incudes bonus instrumentals cd (4ad0663cdpe)"
d358,"ill at ease the mark of cain rock the mark of cain - ill at ease deluxe 2lp (gun metal grey vinyl) limited edition - full remastered - deluxe 2lp embossed gatefold sleeve, gun metal grey vinyl. the mark of cain and cooking vinyl australia are proud to announce the first-ever vinyl release of their breakthrough album ill at ease. featuring the singles first time and lma plus crowd favourites tell me, the contender and pointman the fully remastered ill at ease will appear on gunmetal grey vinyl in a limited-edition gatefold sleeve complete with lyric insert and featuring five bonus tracks."
d359,"streetcore joe strummer & the mescaleros rock 20th anniversary reissue, issued in gatefold jacket with printed inner sleeve (catalog number 80454-1sle) with lyrics, credits and artwork. released to commemorate the 20th anniversary of the original issue on october 20, 2003. includes 8 1/4"" × 11 3/4"" printed insert with handwritten lyrics to track a1, ©joe strummer from the joe strummer archive. catalog number dh0022 on spine, labels. catalog number 4050538926354 on back cover. hype sticker with catalog number dh0022: dark horse records joe strummer streetcore 20th anniversary featuring remastered audio includes special edition archival print artist on spine: joe strummer & mescaleros artist on labels: joe strummer ℗ © 2023 casbah productions limited under exclusive license to bmg rights management (us) llc. made in the czech republic. recorded at 2khz studios, rockfield studios, unit 21, and the quadrant track b1: recorded and mixed at akadamie mathematique of philosophical sound research digital editing at masterdisk n.y.c. track title variations on inner sleeve: a4: arms aloft in aberdeen b5 ""before i grow too old"" aka silver & gold track b5 credit on inner sleeve: written by: bobby charles (but under his real cajun name of robert guidry). tracks are sequentially numbered (1 to 10) on back cover."
d360,"god is dead twin temple rock, pop first pressing limited to 400 copies pressed on ""pink palace"" vinyl. released in a gatefold sleeve. all first edition pressings came with a funeral card (limited to 700) to differentiate them from the second pressings which were pressed on the same two colors. these first edition copies were also supposed to be marked as ""first edition"" on the packaging, but that never materialized. the first catalogue number is from the spine and labels, the second catalogue number is from the barcode sticker on the shrink wrap. recorded over the season of the witch 2021. sleeve: made in cz labels: made in hell runouts are stamped."
d361,god smiles on the callous daoboys the callous daoboys rock limited pressing of 600. packaged in die cut sleeve. sold through label’s online store.
d362,this heathen land green lung rock strictly limited edition of 700 in green/white split vinyl including a 16 page booklet and a limited map print of this heathen land
d363,campfire at fatty's - round one various rock recorded live in one take.
d364,"super slimey future (4) hip hop first time on vinyl. 19658807241s1 printed on hype sticker. ""hip hop 50"" sticker with 1raw1063951 listed."
d365,"pink tape lil uzi vert hip hop, rock "
d366,hymns from the apocrypha suffocation rock jewel case with clear tray and 16-page booklet.
d367,now yearbook '88 various special edition digibook
d368,"buzzin’ gary del vecchio rock limited edition noble records exclusive limited to 500 copies with red swirl vinyl. never before available on vinyl comes with informational sheet. sticker on front cover: “ohio was a hotbed for hard rock at the time with bands like the james gang, glass harp, poobah, left end, damnation of adam blessing… what you get here matches the style of any of those bands laid down” - paul major"
d369,"gore metal (25th anniversary edition) exhumed rock 25th anniversary deluxe edition w/ expanded artwork and liner notes. slime green vinyl (standard gram, black light reactive, neon green vinyl). spot gloss jacket (on logos, chainsaw and song titles) with printed inside (the inside of the jacket is printed with a gore photo). includes 12"" x 24"" fold-out insert w/ pictures, lyrics and credits. includes updated 2023 liner notes written by matt harvey and ross sewage. 5164 copies made according to label site. some copies may include additional censored cover sheet. track b6 ""sodomy and lust"" originally recorded by . cat.number rr7548 on spine, cat.number rr75481 on hype sticker. made in the czech republic. pressing plant id'd in runout."
d370,"bauhaus staircase omd electronic, pop issued in a cardboard slipsleeve."
d371,yaldabaoth / milky pond w.r.f. electronic included with the magazine bundle of issue 107 of electronic sound magazine.
d372,"breath from another esthero electronic urban outfitters 25th anniversary release the debut album from esthero, breath from another is re-released & available at uo on opaque pink vinyl. 25th anniversary edition includes one bonus track. 2023, sony."
d373,no love lost year of the knife rock 250 - pn1 - purple in clear w/ black splatter (this) 400 - pn2 - purple & black aside/bside w/ white splatter 300 - indie retail - half purple / half bone w/ black splatter 250 - evil greed - purple and black pinwheel 250 - band - coke bottle clear 1050 - various - purple & bone galaxy
d374,the great escape larry june hip hop aqua obi edition limited to 500. hand numbered.
d375,"bewitched laufey (2) jazz barnes and noble exclusive pressing on “transparent cloudy clear” vinyl released on a matte gatefold sleeve includes a 12-page extended booklet with exclusive behind-the-scenes photos, lyrics, and credits included"
d376,"a charlie brown thanksgiving vince guaraldi quintet jazz, stage & screen 50th anniversary special edition recorded on august 20,22 and september 4, 1973 at wally heider recording studios in san francisco"
d377,"the sin of human frailty end (15) rock first pressing. closed casket activities & evil greed exclusive. pressed on gold, oxblood & black stripe, limited to 500 copies. housed in a full-colour, matte-printed, double-sided 10-panel jacket including die-cut features showcasing expanded artwork. digital download card included. * tracks are listed sequentially on the release. additional vocals on ""twice devoured kill"" by [...] of pig destroyer. additional vocals on ""worthless is the lamb"" by [...] of full of hell. additional vocals on ""thaw"" by [...] of heriot."
d378,"the sin of human frailty end (15) rock first pressing. closed casket activities exclusive. pressed on silver, red & white mix w/ black, purple & red splatter limited to 300 copies. housed in a full-colour, matte-printed, double-sided 10-panel jacket including die-cut features showcasing expanded artwork. digital download card included. * tracks are listed sequentially on the release. additional vocals on ""twice devoured kill"" by [...] of pig destroyer. additional vocals on ""worthless is the lamb"" by [...] of full of hell. additional vocals on ""thaw"" by [...] of heriot."
d379,klockworks 38 alarico (2) electronic 
d380,"feel good now swans rock comes with a 24""x36"" poster, download card and an insert signed by michael gira. from the jacket: ""this record has been slightly edited from its original version in the interest of improving fidelity. the song our love lies is included digitally via the download card provided with this release."" an ""official bootleg"" recorded during the swan's ""children of god"" tour of europe, 1987. tracks as per jacket. lengths per side are given as follows: side a: (19:18) side b: (18:37) side c: (19:36) side d: (19:11)"
d381,"bauhaus staircase omd electronic, pop issued in a picture sleeve on white vinyl. limited to 1,000 copies only. erratum: - the side b title was supposed to be in all lower case on the label - the inside of the sleeve was supposed to be red, matching the 12 inch version - the 14th character of the scanned barcode is non-printable but has the hex value of 0a"
d382,prisoner of circumstance boldy james hip hop 300 pressed on red/white/black stripe vinyl
d383,"dolenz sings r.e.m. micky dolenz rock, pop "
d384,shattered bad cop bad cop rock includes lyric sheet.
d385,history books the gaslight anthem rock hype sticker: the new album includes “history books (feat. bruce springsteen)” clear smoke vinyl (scandinavia exclusive) this colorway is possibly mixed up with german exclusive vinyl colorway (electric) so they are vice versa possibly.
d386,hard light drop nineteens rock some versions came with a drop nineteens bumper sticker. download code included (bandcamp).
d387,"denver luna underworld electronic issued in a picture sleeve on pink vinyl. record in glossy, die-cut inner sleeve. limited to 1000 copies released through underworldlive.com as part of their continuing ""limited drops"" barcode sticker is on rear shrink-wrap ℗ & © 2023 underworld t/a smith hyde productions. distributed by virgin music."
d388,heaven comes down dokken rock black vinyl version.
d389,"evil chuck b/w ron g warrior sunn o))) limited to 835 copies (worldwide subscription base only). [rear sleeve:] © ℗ 2023 sub pop records. sub pop is a registered trademark of sub pop records. 2013 4th avenue, third floor, seattle, wa 98121. sp1569 subpop.com interior illustration by @oldsweaty"
d390,faye webster faye webster november 2023 secretly society release. printed inner jacket with credits includes download card
d391,"uncaged zac brown band folk, world, & country this is the 2023 repressing by fugitive. there are three variants: the zac brown band store exclusive limited edition /500 black / gold dispersion variant; the walmart exclusive gold variant; and this one the retail exclusive limited edition /4000 milk bone variant."
d392,"for forever the american analog set rock 2xlp on 180g black vinyl in gatefold sleeve with insert. limited to 900 copies. first new material in 18 years. recorded 2015-2019, mastered 2020. no track durations on release."
d393,"j jazz: deep modern jazz from japan (volume 4) the nippon columbia label 1968-1981 various gatefold sleeve with obi and insert made in the e.u. track a1: from the album ""smile"", 1981 nippon columbia track a2 from the album ""head rock"", 1970 nippon columbia track b1 from the album ""new jazz in japan"", 1968 nippon columbia track b2 from the album ""tomoki"", 1979 nippon columbia track b3 from the album ""pianic pianism"", 1977 nippon columbia track c1 from the album ""one tuesday in new york"", 1977 nippon columbia track c2 from the album ""high flying"", 1976 nippon columbia track d1 from the album ""prelude to the afternoon of a faun"", 1974 nippon columbia track d2 from the album ""for my little bird"", 1975 nippon columbia track e1 from the album """" , 1971 nippon columbia track e2 from the album ""our time"", 1975 nippon columbia track e3 from the album ""moon stone"", 1978 nippon columbia track f1 from the album ""by the red stream, 2012 nippon columbia track f2 original from the album ""kaleidoscope"", 1978/2023 nippon columbia tony & mike wish to thank all the artists for the music, everyone at bbe, , and james catchpole at tokyojazzjoints.com, , jan letocha, mvns, ian at the one box record fair, frank and leo at the carvey, the staff at nippon columbia: toko kobayashi and ryousuke endou, jodie at key and everyone who has supported the j jazz project."
d394,where ironcrosses grow dismember rock including insert with lyrics and credits. hype sticker on wrap. nuclear blast mailorder edition & limited to 500 copies
d395,"152 taking back sunday rock limited to 1,500 pressed. housed in a gatefold jacket with a poly lyric sleeve with printed lyrics and a photo of the band. ℗ & © 2023 fantasy records."
d396,"javelin sufjan stevens rock, pop, folk, world, & country magnolia exclusive orange crush vinyl magnolia record club album of the month for october ℗ © 2023 akr asthmatic kitty records 830 glenwood ave. suite 510-414 atlanta, ga 30316 all songs... © 2023 sufjan stevens music / ascap except ""there's a world""... © 1972 silver fiddle music, hipgnosis side a mastered by heba kadry, nyc"
d397,now yearbook extra '73 (60 more essential hits from 1973) various released in a 6-panel digifile. ℗2023 the copyright in this sound recording is owned by now that's what i call music llp. ©2023 now that's what i call music llp. made in the eu.
d398,"teen dream beach house rock, pop urban outfitters exclusive. limited to 3000 on clear purple vinyl engineered and mixed at dreamland and dna studios in july 2009, mastered at exchange. (c)(p)2010 sub pop records similar to but has a different hype sticker and no download code or dvd. includes insert with titles and lyrics. track durations do not appear on release. 'golden' stamped in runouts, the rest etched."
d399,"bauhaus staircase omd electronic issued in a picture sleeve on white vinyl. the inside of the sleeve is also printed in red. limited to 1,000 copies only. erratum: - the labels state 33 rpm, but it plays at 45 rpm - the catalog number below the barcode (100s139) is for the 7 inch version - the 14th character of the scanned barcode is non-printable but has the hex value of 0a"
d400,"house & trance crime in stereo rock pressing info 250 – pn1 – white in half clear / half silver with heavy black & red(ish) splatter [this] 400 – pn2 – white, silver & black aside/bside with heavy white splatter 350 – indie retail – oxblood w/ white & black twist 250 – banquet – coke bottle / white / baby pink tri-stripe 250 – triple b / rough trade – clear & red pinwheel w/ black splatter 1000 – various – electric blue w/ white splatter"
d401,"depression cherry beach house electronic, rock urban outfitters exclusive. pressed on translucent red vinyl, limited to an unknown amount. housed in a full-colour, gloss-printed, red mirror-board, single-sleeve jacket. vinyl housed inside a full-colour, double-sided, artwork and credit printed paper inner-sleeve. * also advertised as 'clear red'."
d402,"good. the sawtooth grin rock ""good."" was written and arranged over long distances and timelines, in sickness and in health, by the sawtooth grin. this one-time pressing is limited to 1055 copies across seven public variants 50 afterlife sig (wax vessel signature) 50 sigtime (wax vessel signature) 50 that's just swell (this sig, that is) (wax vessel signature) 50 i don't need this 100 grand sultan splatter unlimited what's creation [this] 500 so long, dear pvc 5 member mage 5 golden mage 2 mega mage all of this housed in: 1.5x thickness matte gatefold jackets booklet insert black polylined innersleeves gold foil numbering stuffed into polybags hype sticker’d custom wv mailers matching wv album art sticker"
d403,"saved! reverend kristin michael hayter folk, world, & country bone white evil greed exclusive edition limited to 500 copies. comes with an insert."
d404,"chronicles of a diamond black pumas rock, funk / soul levitation edition, 300 copies pressed."
d405,"the god that never was dismember rock including insert with lyrics and credits. hype sticker on wrap. nuclear blast mailorder edition & limited to 500 copies recorded at [...] august - september 2005. reissue mastered by [...] at [...], december 2022."
d406,"good. the sawtooth grin rock ""good."" was written and arranged over long distances and timelines, in sickness and in health, by the sawtooth grin."
d407,"bleed out within temptation rock hype sticker: ""within temptation bleed out limited edition smoke coloured vinyl featuring the band's latest hit singles bleed out & rituals includes a 4-page booklet with all lyrics 180 gram audiophile vinyl"" made in the netherlands."
d408,"resurrection of the flesh (triumph of death live, 2023) triumph of death (2) rock issued in a mediabook with 24-page booklet. [booklet] recorded at hell's heroes festival, houston/texas, united states, 23 march 2023. recorded by jarrett pritchard and chris jay. live mixing engineer jarrett pritchard. pro tools engineer chris jay. recorded at dark easter metal meeting, munich, germany, 9 april 2023. recorded by thomas meyns. live mixing engineer costa kostopoulos. recorded at swr barroselas metalfest, barroselas, portugal, 30 april 2023. recorded by andré tavares. live mixing engineer costa kostopoulos."
d409,remote god seeker psycho-frame rock this one-time pressing across multiple public variants: /50 internal sig trance /50 remote sig seeker /50 lasting mortal sigmare /50 24 splatters left /100 eradication /200 nazarene raining glass (open preorder) [this] /100 band exclusive /5 meteor gem exclusive edition w/ obistrip /45 meteor gem exclusive edition w/ obistrip /50 sgr exclusive edition w/ alt cover /5 member mage /5 golden mage /2 mega mage all of this housed in: 1.5x thickness matte gatefold jackets double sided matte full color insert black polylined innersleeves gold foil numbering stuffed into polybags
d410,christmas cher pop made in germany.
d411,"pearlies emma anderson 'witching time' dinked edition on purple vinyl, limited to 500 copies. featuring alternate artwork, bonus flexi disc, obi strip and download code. ℗ & © 2023 emma anderson under exclusive licence to sonic catherdral manufactured in cz"
d412,"higher chris stapleton folk, world, & country "
d413,"either/or elliott smith rock rough trade exclusive limited to 1000 copies. opaque white with orange splatter, rough trade essential edition obi strip. lyric sheet insert with poly-lined inner sleeve. made in czech republic sticker on rear cellophane."
d414,"bauhaus staircase omd electronic issued in a digisleeve. 1,500 copies only. erratum: - the 14th character of the scanned barcode is non-printable but has the hex value of 0a"
